timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1506690388231,2845,CMSBLM_Open Web Portal,200,"Number of samples in transaction : 4, number of failing samples : 0",HKPC3ITS006_Carrier_Management_Sea_B/L_Maintenance_1x 11-1,,true,,84276,4986,1,14,2667,1074,4
1506690392150,0,BeanShell Sampler,200,OK,HKPC3ITS006_Carrier_Management_Sea_B/L_Maintenance_1x 11-1,text,true,,563,0,1,14,0,0,0
1506690391115,5550,1156 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Cargo_Management_Sea_e-Packing_List_Maintenance_1x 14-1,text,true,,27701,1481,1,14,36,0,0
1506690391159,5507,1116 /kerriervision/invalidSession,200,OK,HKPC3ITS006_Cargo_Management_Air_e-Packing_List_Maintenance_1x 13-1,text,true,,795,619,1,14,5507,0,0
1506690388409,7249,CMAPLM_Open Web Portal,200,"Number of samples in transaction : 4, number of failing samples : 0",HKPC3ITS006_Cargo_Management_Air_e-Packing_List_Maintenance_1x 13-1,,true,,84296,4992,1,14,7093,1008,1
1506690396666,0,BeanShell Sampler,200,OK,HKPC3ITS006_Cargo_Management_Air_e-Packing_List_Maintenance_1x 13-1,text,true,,571,0,1,14,0,0,0
1506690396665,8028,1157 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Cargo_Management_Sea_e-Packing_List_Maintenance_1x 14-1,text,true,,26811,748,1,14,8028,0,2
1506690404693,16,1158 /kerriervision/invalidSession,200,OK,HKPC3ITS006_Cargo_Management_Sea_e-Packing_List_Maintenance_1x 14-1,text,true,,797,619,1,14,16,0,2
1506690388652,15014,CMSPLM_Open Web Portal,200,"Number of samples in transaction : 4, number of failing samples : 0",HKPC3ITS006_Cargo_Management_Sea_e-Packing_List_Maintenance_1x 14-1,,true,,84300,5022,1,14,9428,1043,6
1506690404709,1,BeanShell Sampler,200,OK,HKPC3ITS006_Cargo_Management_Sea_e-Packing_List_Maintenance_1x 14-1,text,true,,572,0,1,14,0,0,0
1506690390464,14742,11 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,2026,1558,1,14,12269,0,2
1506690405206,0,BeanShell Sampler,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,662,0,1,14,0,0,0
1506690405206,16,12 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,1139,634,1,14,16,0,2
1506690405223,681,13 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,48962,1733,1,14,17,0,0
1506690405904,0,BeanShell Sampler,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,662,0,1,14,0,0,0
1506690405904,119,14 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,48049,738,1,14,119,0,0
1506690406023,712,15 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,56075,2515,1,14,25,0,0
1506690406735,138,16 /kerriervision/kerriervbo/dispatcher/index-flow,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,55270,1461,1,14,12,0,0
1506690406873,0,BeanShell Sampler,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,662,0,1,14,0,0,0
1506690406873,52,17 /kerriervision/kerriervbo/dispatcher/index-flow,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,54328,738,1,14,52,0,0
1506690406925,522,18 /kerriervision/kerriervbo/dispatcher/index-flow,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,1092,795,1,14,522,0,0
1506690407447,525,19 /kerriervision/kerriervbo/dispatcher/showImage-flow,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,bin,true,,2684,639,1,14,522,0,2
1506690389449,17508,VMAM_Login,200,"Number of samples in transaction : 13, number of failing samples : 0",HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,,true,,272186,10811,1,14,13554,1015,6
1506690390468,18324,227 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Report_Analysis_Report_1x 2-1,text,true,,1997,1558,1,14,18304,0,1
1506690408792,0,BeanShell Sampler,200,OK,HKPC3ITS006_Report_Analysis_Report_1x 2-1,text,true,,633,0,1,14,0,0,0
1506690408793,10,228 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Report_Analysis_Report_1x 2-1,text,true,,1108,634,1,14,10,0,0
1506690408803,57,229 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Report_Analysis_Report_1x 2-1,text,true,,48948,1733,1,14,12,0,0
1506690408860,0,BeanShell Sampler,200,OK,HKPC3ITS006_Report_Analysis_Report_1x 2-1,text,true,,633,0,1,14,0,0,0
1506690408860,47,230 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Report_Analysis_Report_1x 2-1,text,true,,48025,738,1,14,46,0,0
1506690408907,95,231 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Report_Analysis_Report_1x 2-1,text,true,,56038,2515,1,14,13,0,0
